Brand Names
Samsung 123cm (49 inch) Full HD LED Smart TV 2018 Edition
Philips 108cm (43 inch) Full HD LED Smart TV
Mi LED Smart TV 4X Pro 138.8 cm (55)  with Android
Vu Premium Android 163cm (65 inch) Ultra HD (4K) LED Smart TV
ADSUN 60cm (24 inch) HD Ready LED TV
MarQ by Flipkart 140 cm (55) Ultra HD (4K) LED Smart Android TV
Samsung 139.7cm (55 inch) Ultra HD (4K) LED Smart TV
Sony Bravia W672G 80.1cm (32 inch) Full HD LED Smart TV
Blaupunkt 109cm (43 inch) Full HD LED Smart TV  with External Soundbar
Vu Pixelight 108cm (43 inch) Ultra HD (4K) LED Smart TV
LG 80cm (32 inch) HD Ready LED Smart TV
Noble Skiodo INT 98cm (39 inch) HD Ready LED Smart TV
Sony Bravia R352F 101.6cm (40 inch) Full HD LED TV
Detel 99cm (39 inch) HD Ready LED TV
Micromax 124cm (49 inch) Ultra HD (4K) LED Smart Android TV
Vu 190cm (75 inch) Ultra HD (4K) LED Smart Android TV
IGO By Onida 80.01cm (32 inch) HD Ready LED Smart TV
Samsung 4 80cm (32 inch) HD Ready LED TV
Samsung 165.1cm (65 inch) Ultra HD (4K) LED Smart TV
Koryo 139.7cm (55 inch) Ultra HD (4K) LED Smart Android TV
Mi LED Smart TV 4 Pro 138.8 cm (55)
MarQ by Flipkart Dolby 65 inch(165 cm) Ultra HD (4K) Smart LED TV
LG 108cm (43 inch) Ultra HD (4K) LED Smart TV
Huidi 80cm (32 inch) HD Ready LED TV
Vu Premium Android 138cm (55 inch) Ultra HD (4K) LED Smart TV
Bush 60cm (24 inch) HD Ready LED TV
Haier 80cm (32 inch) HD Ready LED TV
Panasonic 55cm (22 inch) Full HD LED TV
Micromax 81cm (32 inch) HD Ready LED TV
Micromax 101cm (40 inch) Full HD LED TV
Samsung 5 100CM (40 inch) Full HD LED TV
